,B9A064,O00391,O14791,O43866,O95445,P00488,P00734,P00736,P00738,P00739,P00740,P00742,P00746,P00747,P00748,P00751,P01008,P01009,P01011,P01019,P01023,P01024,P01031,P01034,P01042,P01591,P01593,P01599,P01615,P01619,P01700,P01701,P01764,P01766,P01857,P01859,P01860,P01861,P01871,P01876,P01877,P02533,P02647,P02649,P02652,P02654,P02655,P02656,P02671,P02675,P02679,P02741,P02743,P02745,P02746,P02747,P02748,P02749,P02751,P02753,P02760,P02763,P02765,P02766,P02768,P02774,P02775,P02776,P02787,P02788,P02790,P03951,P03952,P04003,P04004,P04070,P04114,P04196,P04217,P04264,P04406,P04433,P05090,P05106,P05154,P05155,P05156,P05452,P05546,P06312,P06396,P06702,P06727,P06733,P07225,P07357,P07358,P07360,P07737,P07996,P08514,P08519,P08603,P08697,P08709,P09871,P0C0L4,P0C0L5,P0DJI8,P0DOY2,P0DOY3,P10643,P10720,P10909,P11142,P11226,P12259,P12814,P13645,P13671,P14618,P15169,P17936,P18065,P18206,P18428,P19652,P19823,P19827,P20851,P22352,P22891,P23142,P23528,P25311,P27169,P27918,P35443,P35527,P35542,P35579,P35858,P35908,P36955,P39039,P43652,P48740,P49747,P49908,P55056,P60709,P61224,P62937,P63104,P67936,P68366,P68871,P69905,P69905,P80748,P81605,Q03591,Q04756,Q06033,Q13103,Q13201,Q13790,Q14520,Q14624,Q5TB80,Q6Q788,Q86UX7,Q92954,Q96IY4,Q96PD5,Q9BXR6,Q9UGM5,Q9UK55,Q9Y490
P06727,0.23004694,0.23587224,0.27798507,0.26680672,0.22302158,0.22042342,0.22759601,0.23016906,0.26254827,0.25925925,0.24912892,0.25263157,0.26206896,0.22065727,0.24193548,0.22060606,0.26124567,0.2742857,0.2757353,0.28076255,0.16319677,0.159689,0.14795008,0.19951338,0.23239437,0.19323671,0.16256158,0.15920398,0.1675,0.15037593,0.1725,0.160401,0.1641791,0.16089109,0.24282983,0.24319066,0.24264705,0.24806201,0.2360877,0.23883495,0.24550898,0.2736842,0.28666666,0.30897704,0.17128463,0.14786968,0.16377172,0.16169155,0.20572057,0.23979592,0.27272728,0.23798627,0.25240386,0.22925764,0.21978022,0.20861678,0.2515528,0.24404761,0.11509054,0.23429951,0.2504931,0.24285714,0.25150904,0.1875,0.26917294,0.2798574,0.18610422,0.15538847,0.23498695,0.23728813,0.2552817,0.22869319,0.24637681,0.24246988,0.25569177,0.24305555,0.07581069,0.22807017,0.27805695,0.1989319,0.24788135,0.1670823,0.21666667,0.21878716,0.26070765,0.25762713,0.23816568,0.21768707,0.24916388,0.15700483,0.23401688,0.16666667,1.0,0.2641166,0.23847167,0.24434389,0.25531915,0.22871046,0.17191283,0.17504187,0.20689656,0.12402724,0.1764706,0.26767677,0.24352331,0.23076923,0.14971429,0.15085714,0.16461916,0.16582915,0.16331658,0.21134594,0.16080402,0.2647585,0.25525945,0.23842593,0.11987522,0.22413793,0.2034384,0.19560878,0.255627,0.25,0.23974082,0.24701196,0.2015571,0.25811967,0.23076923,0.20961145,0.21757323,0.23972602,0.2260274,0.25607476,0.21842106,0.21445782,0.26361656,0.25346535,0.22483222,0.20841683,0.20558003,0.17283951,0.13712545,0.26291794,0.21428572,0.26779026,0.2327189,0.24415205,0.22089948,0.21490683,0.27087575,0.17603911,0.27732792,0.21980676,0.18764846,0.2552204,0.274463,0.2444062,0.1980198,0.18673219,0.18673219,0.15,0.17293233,0.25541127,0.22884881,0.21558164,0.20697674,0.181458,0.27631578,0.24767801,0.21884817,0.17905167,0.33618844,0.24410541,0.13754386,0.25607476,0.23308271,0.23647605,0.26810175,0.28413284,0.11713836
P06733,0.21598272,0.23123486,0.2659176,0.24444444,0.21088435,0.2411693,0.24759285,0.22094509,0.26548672,0.26587301,0.2611684,0.2413793,0.23333333,0.22247706,0.24331927,0.24009603,0.2766323,0.2589928,0.2547332,0.28156996,0.17087767,0.16498516,0.16489361,0.17278618,0.24343015,0.1936937,0.15981735,0.15102975,0.16933638,0.16475973,0.1559633,0.15765765,0.16628702,0.15753424,0.25531915,0.2632541,0.24365482,0.2585895,0.25123152,0.24314442,0.25708884,0.2613828,0.23505154,0.23295455,0.14678898,0.13824885,0.14383562,0.14022988,0.21160042,0.25375625,0.26782608,0.23632385,0.22993493,0.24152543,0.22925764,0.22012578,0.24772036,0.25675675,0.12268705,0.22125813,0.25433525,0.20915033,0.24231465,0.19068736,0.2517581,0.26171243,0.1784897,0.15873016,0.2403487,0.24155194,0.26870748,0.24,0.25104022,0.25368732,0.25245902,0.25950414,0.0786074,0.24032257,0.26870748,0.20607662,0.27559054,0.16513762,0.21633554,0.23149236,0.26492536,0.25328946,0.2548435,0.2012987,0.26163724,0.16894977,0.23166473,0.14573991,0.2641166,1.0,0.24091521,0.2518195,0.22465754,0.22222222,0.1891892,0.18693134,0.20257826,0.13132295,0.19028662,0.26079735,0.25378153,0.23958333,0.16296296,0.16182336,0.1655481,0.16363636,0.1590909,0.22541437,0.16210045,0.2393888,0.24489796,0.24122807,0.13512304,0.22492081,0.20916906,0.21871822,0.2652106,0.26262626,0.23108384,0.24409449,0.20675105,0.26450512,0.20971303,0.2185904,0.21421108,0.2356688,0.23326133,0.23978686,0.22409326,0.21428572,0.24796748,0.27380952,0.23128119,0.21386719,0.20897616,0.1738149,0.1362948,0.25685427,0.21849866,0.262697,0.22037423,0.25714287,0.22929937,0.22301304,0.24862888,0.16629213,0.2574074,0.21507761,0.20842572,0.22594142,0.23768736,0.25510204,0.19909503,0.19419643,0.19419643,0.15753424,0.16551724,0.24652088,0.23835616,0.23870967,0.2161572,0.18503937,0.23563218,0.25077882,0.22369765,0.17166783,0.24772313,0.24021593,0.15309674,0.25,0.24508321,0.24926254,0.25788498,0.2640545,0.11953125
P07225,0.1839416,0.25080732,0.25336927,0.21823205,0.15239477,0.26489362,0.28712872,0.26421404,0.24184783,0.22207084,0.2911726,0.27272728,0.18767908,0.25967413,0.2535211,0.26155463,0.26822916,0.23751687,0.25168237,0.24473684,0.21563518,0.20451912,0.2050401,0.13788098,0.23995535,0.14580265,0.12573099,0.12922174,0.13293944,0.12665685,0.12481645,0.119469024,0.12518409,0.12536873,0.24965133,0.24438202,0.25845736,0.24343015,0.24538259,0.24123423,0.23109244,0.24005134,0.20223153,0.21659635,0.11686391,0.098966025,0.11373708,0.10751104,0.24585366,0.25641027,0.23067011,0.19596542,0.19068414,0.1942029,0.19660537,0.19225252,0.2625,0.2201087,0.15971394,0.16738817,0.23297003,0.16981132,0.22764228,0.1459854,0.26872772,0.25997427,0.12922174,0.1085044,0.26586434,0.2687704,0.2370173,0.25485715,0.25427595,0.26252982,0.23657289,0.28783783,0.108538985,0.24150944,0.24777636,0.22133027,0.22191781,0.12941177,0.17690058,0.25128734,0.24629879,0.24875621,0.2580645,0.17101449,0.23980223,0.12665685,0.25759163,0.11964549,0.23847167,0.24091521,1.0,0.26258993,0.26102504,0.16981132,0.13970588,0.21928461,0.24013722,0.16627191,0.22743948,0.25189874,0.2647815,0.26393628,0.19198665,0.19328193,0.120943956,0.110456556,0.110456556,0.25098425,0.107669614,0.24197862,0.2556818,0.19533528,0.17166814,0.24637681,0.21229698,0.25187266,0.25123763,0.23385014,0.20512821,0.21309192,0.24213076,0.25189874,0.16642335,0.2506887,0.2523719,0.19252874,0.18550725,0.28275862,0.2752193,0.15588236,0.2119488,0.23119015,0.23423423,0.25638688,0.21864595,0.1281296,0.17207474,0.26433915,0.2271715,0.2473822,0.18678162,0.2596154,0.26855895,0.25945947,0.23684211,0.12536873,0.21709634,0.16045845,0.15463917,0.18248175,0.19826339,0.24242425,0.14035088,0.13382353,0.13382353,0.11420205,0.12573965,0.20108695,0.2671156,0.25503355,0.17221418,0.22871947,0.22237569,0.2654321,0.24533582,0.21119253,0.2345679,0.24915062,0.18606225,0.24147339,0.25947866,0.24817519,0.22955145,0.249668,0.1583851
P07357,0.17676768,0.24031891,0.25731894,0.23763955,0.17597292,0.254023,0.25062656,0.25650117,0.25226587,0.2265625,0.24541607,0.2485955,0.20428336,0.24602333,0.24779874,0.26010928,0.24857143,0.23837209,0.25295857,0.2539913,0.19300517,0.18075801,0.18568103,0.15476191,0.25686976,0.15166667,0.13874789,0.13527398,0.13412564,0.14334472,0.13242784,0.13752122,0.12897822,0.12374582,0.2347561,0.23584905,0.23426062,0.23817034,0.22841966,0.24691358,0.24921136,0.23965763,0.21797004,0.23076923,0.13605443,0.10958904,0.12457338,0.11584327,0.23955148,0.25658807,0.24061196,0.18811882,0.19078948,0.19736843,0.198036,0.18833333,0.32850942,0.22519685,0.1475279,0.1703204,0.23136646,0.17085427,0.23647605,0.14451827,0.24843162,0.24162011,0.13846155,0.10623946,0.24796274,0.24349882,0.23613086,0.259901,0.2582217,0.25031447,0.24604316,0.25685427,0.09459163,0.22930801,0.2638484,0.23152709,0.22204724,0.13651878,0.1669449,0.23991276,0.23201175,0.24099723,0.25844157,0.18616144,0.24753867,0.1365936,0.23908296,0.13798977,0.24434389,0.2518195,0.26258993,1.0,0.3583815,0.18390805,0.14671163,0.21061093,0.22715174,0.15776816,0.21544401,0.2536023,0.24507043,0.2467986,0.18130946,0.18074986,0.13344595,0.13435374,0.13435374,0.24612203,0.108843535,0.22253521,0.25060242,0.20098847,0.15768552,0.24103586,0.22860962,0.24593301,0.25342464,0.24531025,0.21669342,0.22560975,0.21692687,0.24435028,0.17567568,0.23311132,0.234375,0.19063005,0.1904762,0.24809742,0.2549476,0.16445182,0.21372855,0.22390318,0.23495702,0.23301888,0.21875,0.14141414,0.15902293,0.256705,0.23486683,0.23446327,0.2,0.24683544,0.24613555,0.2344086,0.2275449,0.13412564,0.2383808,0.17549668,0.16053511,0.1980198,0.20327869,0.252994,0.15870307,0.14117648,0.14117648,0.13287905,0.13287905,0.21943574,0.25879398,0.24162437,0.17455138,0.20700152,0.22468354,0.25721785,0.22938389,0.18878248,0.23135464,0.25,0.16250843,0.24304539,0.24639581,0.2513089,0.23802395,0.24264705,0.14096573
P07358,0.176565,0.25368065,0.24776119,0.22869955,0.17607974,0.26206896,0.25846925,0.25358853,0.2437223,0.24148607,0.24680851,0.2596685,0.20915033,0.23622881,0.26624203,0.2544053,0.24712643,0.2443778,0.24336283,0.24147727,0.19779508,0.19166183,0.18942475,0.14983165,0.2580645,0.16470589,0.12816189,0.11892797,0.13781513,0.1323283,0.13153458,0.12984823,0.12605043,0.123128116,0.24886191,0.23388305,0.2536657,0.2320917,0.25287357,0.24074075,0.23932926,0.23424658,0.22187005,0.22308892,0.119932435,0.11148649,0.11932773,0.1090604,0.23636363,0.24119242,0.23909986,0.20424837,0.19639935,0.20289855,0.20294599,0.19771242,0.31504923,0.22809668,0.1468949,0.1959799,0.22960725,0.18469217,0.25269645,0.14932886,0.25561097,0.25985402,0.13576159,0.12162162,0.26235294,0.26334107,0.25482094,0.26169404,0.26641884,0.25096032,0.24581006,0.23965763,0.096548714,0.23862068,0.24931881,0.24542125,0.21646342,0.1365936,0.1785124,0.2421959,0.25075528,0.25666198,0.25575447,0.18864775,0.24728261,0.12086093,0.25245902,0.12146422,0.25531915,0.22465754,0.26102504,0.3583815,1.0,0.19301164,0.14524207,0.20961387,0.23324397,0.15913461,0.21191029,0.24791086,0.2571839,0.25171626,0.18141347,0.18196996,0.13311148,0.124579124,0.124579124,0.24313326,0.11912752,0.2457627,0.2449941,0.20327869,0.14960283,0.2389814,0.22493573,0.2647059,0.24513619,0.24397163,0.22575517,0.22484277,0.21352893,0.24788733,0.18543047,0.2283237,0.24212599,0.20655738,0.19900498,0.24848485,0.2549476,0.16166666,0.22171254,0.23582089,0.24787535,0.22928177,0.2201722,0.14597316,0.16190477,0.26804122,0.23775388,0.2521866,0.20226537,0.25126904,0.2561692,0.25111607,0.24101797,0.1295681,0.24655436,0.1764706,0.1611842,0.19806764,0.21122113,0.23931624,0.15640599,0.14983165,0.14983165,0.13344595,0.13827993,0.2173913,0.2697201,0.24657534,0.17152104,0.22068965,0.22706065,0.2580645,0.23782235,0.19054146,0.22891566,0.24013922,0.16599463,0.24164134,0.2565445,0.24494949,0.2511628,0.24594992,0.13908313
P07360,0.26923078,0.16512549,0.23255815,0.23333333,0.25,0.17027026,0.17445482,0.15767635,0.21361503,0.22774869,0.21008404,0.2193676,0.25827813,0.15262516,0.1904762,0.15693904,0.21995927,0.22146119,0.2297593,0.23030303,0.10508475,0.09615385,0.097677186,0.25316456,0.16415663,0.21721311,0.23831776,0.23111111,0.26106194,0.24774775,0.25339368,0.21585903,0.23636363,0.24299066,0.21113689,0.20754717,0.19700214,0.21927711,0.20564516,0.22037914,0.22139303,0.19678715,0.26578072,0.26647565,0.23222749,0.2085308,0.23113208,0.2488263,0.1375,0.2038835,0.20638297,0.2535211,0.26164874,0.25,0.26101694,0.24836601,0.1793961,0.22513089,0.070882,0.30833334,0.2387268,0.27131784,0.2238806,0.25,0.17467949,0.19631901,0.23043478,0.21327014,0.17806268,0.17146777,0.2053388,0.16797489,0.18068536,0.18167202,0.20077972,0.20206186,0.041639272,0.17367458,0.21917808,0.14719272,0.23351648,0.2614679,0.26104417,0.15743072,0.22988506,0.21264368,0.18616144,0.2659176,0.20158103,0.22457626,0.16751269,0.21004567,0.22871046,0.22222222,0.16981132,0.18390805,0.19301164,1.0,0.25213677,0.121057115,0.13942307,0.078316204,0.11922141,0.21611002,0.21255061,0.17291066,0.093356244,0.09392898,0.23043478,0.21962617,0.21962617,0.13918129,0.23671497,0.20718816,0.17948718,0.2413793,0.075505614,0.14365256,0.14527027,0.13002114,0.19814815,0.19135803,0.24691358,0.2506887,0.11971831,0.20833333,0.26587301,0.14568157,0.14956331,0.23859648,0.2635379,0.23887588,0.16991644,0.25431034,0.24223602,0.23529412,0.20081136,0.14403293,0.13467492,0.21551724,0.08146639,0.19417475,0.15975423,0.24770643,0.23389831,0.18433931,0.16407356,0.16578947,0.2235577,0.23214285,0.22636816,0.26153848,0.23481782,0.24671052,0.247557,0.21353066,0.24454148,0.27433628,0.27433628,0.23963134,0.26442307,0.23433243,0.17991005,0.15100671,0.23574145,0.117790416,0.25698325,0.18551236,0.1471536,0.104700856,0.24040921,0.17205882,0.08680311,0.21428572,0.19565217,0.18041237,0.21962617,0.21627408,0.06729634
P07737,0.23333333,0.12334218,0.17067307,0.1961326,0.25777778,0.1350614,0.1399046,0.12747875,0.1884058,0.20054945,0.17052631,0.16901408,0.22826087,0.10960591,0.13322632,0.12890625,0.16561845,0.16968326,0.17913832,0.17184265,0.07588076,0.07035478,0.069129914,0.27173913,0.13824885,0.24875621,0.26347306,0.2638037,0.28915662,0.25157234,0.25443786,0.27096775,0.251497,0.259887,0.18271606,0.18446602,0.16025642,0.17910448,0.18448637,0.1809291,0.18072289,0.1570248,0.20774648,0.17302053,0.23225807,0.22077923,0.24390244,0.23493975,0.11111111,0.15568863,0.17532468,0.232,0.2310757,0.23616236,0.21454546,0.23371647,0.14920071,0.20224719,0.051675413,0.22916667,0.20708446,0.24561404,0.19060053,0.23157895,0.13703099,0.1680498,0.24022347,0.2356688,0.13399154,0.14047287,0.18162394,0.14240506,0.15396579,0.14214876,0.16155419,0.1627907,0.029366644,0.13284133,0.16500995,0.116743475,0.2283237,0.26143792,0.24074075,0.12373737,0.16586539,0.15187377,0.15100671,0.2544643,0.16865079,0.25609756,0.13137755,0.23636363,0.17191283,0.1891892,0.13970588,0.14671163,0.14524207,0.25213677,1.0,0.09145299,0.10047847,0.058794707,0.09172078,0.1468254,0.15966387,0.13773315,0.06995413,0.06938073,0.20744681,0.21787709,0.23636363,0.11360947,0.25641027,0.16885965,0.14984709,0.23396227,0.053956833,0.11371238,0.12116041,0.10897436,0.15904936,0.16309012,0.19620253,0.20414202,0.09385965,0.16977225,0.25431034,0.10947368,0.11597374,0.22535211,0.23622048,0.19664268,0.12762973,0.25365853,0.20792079,0.19889502,0.14845361,0.10777202,0.115264796,0.22564103,0.05867347,0.14192496,0.12248062,0.18588236,0.21374045,0.14403974,0.13098592,0.12467191,0.17974684,0.23626374,0.20207255,0.2535211,0.27860695,0.20848057,0.22962964,0.17211328,0.24630542,0.26229507,0.26229507,0.26451612,0.27152318,0.20943953,0.12971343,0.110367894,0.224,0.086319216,0.19701493,0.15070923,0.108742006,0.07412687,0.17553191,0.12965722,0.07168204,0.17401393,0.15187714,0.140625,0.1969697,0.16335541,0.04956727
P07996,0.13117547,0.23684211,0.17427386,0.17157274,0.10324232,0.23692308,0.2185008,0.2331526,0.18318069,0.16470589,0.19504133,0.20734695,0.13737202,0.2442121,0.21640626,0.23656717,0.18578352,0.17764804,0.1878089,0.19641402,0.24642652,0.24799572,0.24590164,0.094709896,0.22738002,0.10119048,0.0784983,0.0794193,0.0801364,0.07948718,0.07921635,0.0794193,0.078431375,0.0794193,0.17801477,0.17514595,0.19075145,0.17985013,0.19852337,0.17768595,0.1755977,0.18395463,0.13959391,0.14961961,0.069171645,0.06410257,0.07087959,0.06966865,0.2479824,0.20569105,0.1949222,0.1292517,0.12627119,0.13969335,0.13898306,0.13790186,0.20954692,0.16946308,0.20549493,0.11669506,0.16541353,0.10969388,0.16456759,0.092924125,0.22222222,0.1981908,0.087659575,0.07350428,0.23497267,0.2353401,0.18656716,0.21929824,0.2215337,0.22611465,0.19757085,0.20082645,0.14601675,0.19596775,0.20080972,0.19776714,0.16736402,0.07777778,0.11262798,0.24166049,0.17764804,0.19722901,0.22168285,0.11724724,0.19482619,0.08020478,0.235997,0.07685739,0.17504187,0.18693134,0.21928461,0.21061093,0.20961387,0.121057115,0.09145299,1.0,0.24965517,0.22292994,0.25333333,0.1998362,0.19787408,0.23059006,0.23773395,0.2382892,0.08461539,0.07423208,0.07423208,0.2302106,0.07679181,0.19166666,0.22741432,0.13338998,0.22063759,0.24767359,0.17490494,0.23509015,0.20588236,0.19150707,0.1487395,0.1555184,0.23696072,0.19836734,0.11054422,0.25412777,0.24458875,0.13690476,0.12446718,0.1788953,0.248636,0.104184456,0.1488646,0.16541353,0.2048093,0.3868726,0.19255151,0.08439898,0.20921825,0.21394984,0.20141621,0.18786368,0.13021277,0.21077655,0.22605966,0.36617404,0.17489539,0.07856533,0.16319734,0.11724724,0.1037415,0.13287905,0.12805392,0.18714403,0.09564475,0.08780903,0.08780903,0.085178874,0.07692308,0.16398986,0.23604466,0.24426934,0.11606392,0.25192803,0.15903413,0.21365462,0.24567723,0.24,0.16196014,0.22944401,0.2222888,0.18838175,0.2169059,0.22088353,0.17351973,0.18898931,0.2050131
P08514,0.13928914,0.26616916,0.2059925,0.18567389,0.1215311,0.25106746,0.24014337,0.2536418,0.19626169,0.18844697,0.20203893,0.21520147,0.15950334,0.24468085,0.24309884,0.26086956,0.20018116,0.2007435,0.20963173,0.22304147,0.2567649,0.24185798,0.24225964,0.10202117,0.2326389,0.104606524,0.08933718,0.08846154,0.096928984,0.09143407,0.09029779,0.09125841,0.0875,0.08565929,0.19447005,0.19758813,0.2059095,0.19833179,0.20702402,0.20465116,0.20550458,0.22467771,0.16539197,0.18458611,0.081652254,0.06448508,0.077884614,0.07892204,0.24897625,0.20566727,0.20372093,0.14340344,0.14312977,0.15734597,0.15729266,0.14928229,0.22352941,0.18207283,0.20708238,0.1368421,0.1744403,0.12345679,0.19792649,0.10440613,0.22914837,0.21448213,0.09047161,0.080846965,0.248114,0.2542517,0.21428572,0.23452485,0.22844827,0.23179395,0.20955883,0.20585544,0.14732724,0.22312556,0.22392087,0.21533161,0.17260788,0.09134615,0.12190476,0.24678457,0.2054409,0.2212963,0.22123104,0.1259542,0.21909091,0.089423075,0.26206324,0.08237548,0.20689656,0.20257826,0.24013722,0.22715174,0.23324397,0.13942307,0.10047847,0.24965517,1.0,0.21943282,0.253493,0.22689845,0.20792079,0.2506372,0.2475299,0.24583334,0.09326923,0.076849185,0.076849185,0.24920635,0.083653845,0.2044199,0.23958333,0.15619047,0.21801955,0.2505873,0.21076234,0.25925925,0.2245266,0.20759962,0.16857143,0.17779869,0.26232877,0.21883656,0.12619503,0.25738078,0.2631167,0.14491363,0.142171,0.19887955,0.24317406,0.10536399,0.16682464,0.18685447,0.20906568,0.25222552,0.20642978,0.097022094,0.22010481,0.25792253,0.22326775,0.20593692,0.14258555,0.22614841,0.2374161,0.26050422,0.18587361,0.087332055,0.18257646,0.12295869,0.11111111,0.14531548,0.1487524,0.20256646,0.10556622,0.10258868,0.10258868,0.08846154,0.085412666,0.16619718,0.2462752,0.25019187,0.12368169,0.2661725,0.19146919,0.22916667,0.25980017,0.24640287,0.18490566,0.23760684,0.2118286,0.19836214,0.24010554,0.22231986,0.19573283,0.20309654,0.20596102
P08519,0.085784316,0.1851145,0.12591508,0.11822179,0.074400395,0.18083097,0.17683806,0.1766651,0.12900098,0.111707315,0.14320506,0.14278823,0.091796875,0.30077747,0.1707085,0.18791312,0.13682678,0.12585366,0.12713103,0.13953489,0.24537815,0.2541888,0.24690372,0.06170421,0.1691423,0.063725494,0.049509805,0.048529413,0.05,0.049485546,0.048039217,0.05147059,0.050955415,0.050490197,0.13000977,0.12445309,0.13853659,0.13011695,0.14250973,0.13437195,0.12971121,0.13813229,0.09397944,0.11029771,0.041666668,0.037726603,0.041666668,0.043137256,0.20170859,0.14464803,0.13062409,0.08574228,0.08378246,0.091976516,0.08784773,0.08731707,0.16090298,0.115516394,0.2652439,0.07688541,0.11741683,0.07492654,0.12243903,0.060235064,0.16208394,0.14375605,0.05337904,0.042136207,0.17916866,0.18030447,0.14306569,0.16865174,0.17356157,0.16360116,0.15085158,0.13352685,0.19880879,0.15358527,0.15418288,0.15850145,0.108833574,0.050490197,0.073003426,0.19390185,0.12518337,0.14908035,0.15625,0.075980395,0.13950144,0.05340519,0.19180019,0.044607844,0.12402724,0.13132295,0.16627191,0.15776816,0.15913461,0.078316204,0.058794707,0.22292994,0.21943282,1.0,0.24108735,0.14992721,0.13497823,0.17700382,0.25191146,0.25070083,0.050416056,0.0455659,0.0455659,0.20172085,0.04507594,0.13572468,0.16674653,0.09202154,0.25259763,0.18907563,0.14942528,0.20892018,0.14548092,0.140625,0.107684776,0.11480215,0.21916552,0.1416143,0.07296768,0.20302172,0.2021576,0.0944227,0.082272284,0.12920527,0.18082581,0.062163483,0.10092638,0.11111111,0.15033947,0.2075384,0.152657,0.05389515,0.22545727,0.16376811,0.15934332,0.12937742,0.08744504,0.15794528,0.17489421,0.18925345,0.11744639,0.055392157,0.123046875,0.06859383,0.0622244,0.08659491,0.08765916,0.13281628,0.05634493,0.057843138,0.057843138,0.051420175,0.046078432,0.11393643,0.1834687,0.19164734,0.078392945,0.2246946,0.11149144,0.15882073,0.21408582,0.2260719,0.12140419,0.1708134,0.24989285,0.12846716,0.16956522,0.16199227,0.1307317,0.13336566,0.24594419
P08603,0.12348668,0.23299566,0.17689243,0.17135961,0.110032365,0.24383163,0.23100537,0.23180795,0.18615752,0.17174959,0.19765624,0.20234375,0.13370697,0.25256222,0.21829362,0.23982558,0.19002375,0.17683882,0.1888277,0.1861744,0.24750277,0.24658254,0.25142267,0.093268454,0.22296296,0.10235581,0.07785888,0.07717303,0.08279221,0.07879773,0.07636068,0.080161944,0.07617504,0.07623682,0.17474186,0.17422435,0.19066456,0.17186251,0.19248827,0.17670365,0.17740652,0.19273302,0.1414713,0.14782609,0.07067425,0.058346838,0.06737013,0.067424856,0.24545455,0.19349845,0.19203188,0.1345689,0.1292407,0.1340289,0.13285024,0.1318328,0.21745789,0.16988727,0.21722561,0.11433172,0.16706635,0.121753246,0.16853933,0.09700889,0.21040724,0.19700551,0.084415585,0.067424856,0.23586309,0.23303835,0.19285715,0.23195085,0.225,0.22907154,0.19795758,0.19085173,0.1613112,0.19429453,0.19645609,0.20764618,0.1660016,0.07636068,0.11435523,0.23768736,0.17831893,0.19688717,0.2203125,0.11435523,0.19778481,0.078733765,0.23593074,0.073051944,0.1764706,0.19028662,0.22743948,0.21544401,0.21191029,0.11922141,0.09172078,0.25333333,0.253493,0.24108735,1.0,0.18853103,0.19409938,0.23901713,0.24475524,0.24674675,0.083603896,0.07212318,0.07212318,0.25701943,0.06818182,0.18819776,0.22482967,0.1369863,0.22240596,0.24335665,0.20139427,0.26126125,0.2015625,0.18789308,0.14943457,0.16022544,0.24104859,0.19572107,0.120032445,0.2526096,0.22916667,0.1373494,0.1315577,0.17857143,0.22737306,0.10056772,0.15229653,0.17457764,0.19702893,0.24671735,0.20489296,0.083603896,0.2211101,0.20767495,0.21068703,0.18267716,0.130962,0.21872659,0.2358143,0.23760177,0.16306955,0.080422424,0.17478053,0.110210694,0.09967585,0.13102894,0.1385979,0.18853103,0.08973323,0.08847403,0.08847403,0.075548336,0.07293355,0.23782468,0.23076923,0.2482219,0.11646587,0.25526643,0.1558753,0.21278255,0.23961219,0.25014213,0.16494845,0.21673004,0.2326389,0.17541112,0.2159877,0.2883534,0.17642342,0.1808176,0.2108389
P08697,0.21289062,0.2585596,0.25375625,0.23843417,0.20196079,0.24387255,0.25484765,0.24320988,0.2568027,0.24398625,0.25118482,0.26572326,0.22753346,0.23542601,0.26438355,0.24277456,0.29965752,0.3154122,0.30579966,0.28976378,0.18193804,0.1805721,0.16569087,0.16565657,0.24736843,0.16338582,0.14398421,0.156,0.15322581,0.16465864,0.15322581,0.14512922,0.15212981,0.15927419,0.26020408,0.2681661,0.26821193,0.2670068,0.25316456,0.25370675,0.27288428,0.25361156,0.24807692,0.2586521,0.13849287,0.12727273,0.13995942,0.14343435,0.21390937,0.25,0.240625,0.22928709,0.22851562,0.23359074,0.22693726,0.21132076,0.2533137,0.24181817,0.1305044,0.19721116,0.2508772,0.2,0.25605536,0.18217821,0.27116212,0.26971608,0.1602434,0.13709678,0.26136363,0.25093168,0.26996806,0.24661246,0.24832214,0.24657534,0.2715655,0.2622433,0.086966045,0.24229075,0.26946107,0.21354167,0.23562153,0.15757576,0.19842829,0.2303433,0.3015873,0.30379745,0.256447,0.2074364,0.2718894,0.1494024,0.24913892,0.14979757,0.26767677,0.26079735,0.25189874,0.2536023,0.24791086,0.21611002,0.1468254,0.1998362,0.22689845,0.14992721,0.18853103,1.0,0.2538941,0.25283018,0.17526942,0.17526942,0.148,0.13821138,0.14256619,0.2286652,0.136,0.2676282,0.25529101,0.21072088,0.14253898,0.23541887,0.22589928,0.21635094,0.25225225,0.25236592,0.23818181,0.25179857,0.20201173,0.2735849,0.19805825,0.23616602,0.2413088,0.21223709,0.22111554,0.27008548,0.23292683,0.17097415,0.24080883,0.24784854,0.24153847,0.22583826,0.22797203,0.16297787,0.15237135,0.30140844,0.23751687,0.32795697,0.21601489,0.2632312,0.24840765,0.23907767,0.24615385,0.15831663,0.23152709,0.19879518,0.182,0.21575984,0.21161048,0.24803768,0.164,0.16633664,0.16633664,0.14717741,0.15492958,0.23327306,0.2434128,0.23834746,0.18518518,0.20251177,0.2522046,0.2517781,0.23799796,0.18194349,0.27629232,0.25740024,0.15437159,0.25162336,0.26666668,0.24195804,0.26863086,0.31316727,0.1295642
